,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture,Capture,Capture,Capture,Capture,6h,6h,6h,6h,6h,d01,d01,d01,d01,d01,d06,d06,d06,d06,d06,d09,d09,d09,d09,d09,d12,d12,d12,d12,d12,Euth,Euth,Euth,Euth,Euth
Bird ID,Stage,Body Mass,Epigenetic Potential,EP Count,Average Salmo Burden,Final Salmo Burden,Daily Rate of Change SB,Average Liver DNAm,Variance Liver DNAm,Average Spleen DNAm,Variance Spleen DNAm,Average Blood DNAm,Variance Blood DNAm,BLOOD Change in DNAm per day,Liver CpG 5,Liver CpG 4,Liver CpG 3,Liver CpG 2,Liver CpG 1,Spleen CpG 5,Spleen CpG 4,Spleen CpG 3,Spleen CpG 2,Spleen CpG 1,Blood CpG 5,Blood CpG 4,Blood CpG 3,Blood CpG 2,Blood CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1,CpG 5,CpG 4,CpG 3,CpG 2,CpG 1
3138,Female,21.2,high,8,2.47835,2.47835,NA,0.6,0.3,0.4,0.3,0.6,0.3,NA,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3139,Male,27.1,high,8,2.1242115,2.3243195,0.030425778,0.6,0.3,0.2,0.2,0.4,0.3,0.133333333,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
3142,Male,23.2,high,8,1.55350875,1.8977735,0.229509833,0.6,0.3,0.6,0.3,0.4,0.3,NA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,1,0
3144,Juvenile,23,low,7,2.20254325,2.3585485,0.1040035,0.6,0.3,NA,NA,0.2,0.2,0.806666667,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3145,Juvenile,19.8,high,8,1.2605875,1.203978,-0.018869833,0.6,0.3,NA,NA,0.6,0.3,0.073333333,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
3150,Female,22.2,high,9,3.0431285,3.8145975,0.257156333,1,0,NA,NA,0.6,0.3,-0.4,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
3153,Female,24.6,low,7,1.233818667,1.3000825,0.049478458,0.4,0.3,0.2,0.2,0.6,0.3,0.5,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3154,Male,23.7,low,7,2.2871942,3.16293,0.160064458,0.6,0.3,NA,NA,0.2,0.2,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3155,Male,25.3,high,10,1.92542,0.837991,-0.4963205,1,0,0.6,0.3,0.4,0.3,0.866666667,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
